[0.000000] (-) TimerEvent: {}
[0.000243] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000298] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000312] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000325] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000334] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000345] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000354] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000364] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000373] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000383] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000394] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000403] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000413] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000423] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000432] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000442] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000451] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000462] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000471] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000481] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000492] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.000503] (-) JobUnselected: {'identifier': 'first_node'}
[0.000512] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.000524] (-) EventReactorShutdown: {}
